RECTYPE,ALPHAIND,LEA,ESTAB,URN,SCHNAME,ADDRESS1,ADDRESS2,ADDRESS3,TOWN,PCODE,TELNUM,PCON_CODE,PCON_NAME,URN_AC,SCHNAME_AC,OPEN_AC,NFTYPE,ICLOSE,RELDENOM,AGERANGE,TAB15,TAB1618,TOTPUPS,TPUPYEAR,TELIG,BELIG,GELIG,PBELIG,PGELIG,TKS1AVERAGE,TKS1GROUP_L,PTKS1GROUP_L,TKS1GROUP_M,PTKS1GROUP_M,TKS1GROUP_H,PTKS1GROUP_H,TKS1GROUP_NA,PTKS1GROUP_NA,TFSM6CLA1A,PTFSM6CLA1A,TNOTFSM6CLA1A,PTNOTFSM6CLA1A,TEALGRP2,PTEALGRP2,TMOBN,PTMOBN,PTRWM_EXP,PTRWM_HIGH,READPROG,READPROG_LOWER,READPROG_UPPER,READCOV,WRITPROG,WRITPROG_LOWER,WRITPROG_UPPER,WRITCOV,MATPROG,MATPROG_LOWER,MATPROG_UPPER,MATCOV,PTREAD_EXP,PTREAD_HIGH,PTREAD_AT,READ_AVERAGE,PTGPS_EXP,PTGPS_HIGH,PTGPS_AT,GPS_AVERAGE,PTMAT_EXP,PTMAT_HIGH,PTMAT_AT,MAT_AVERAGE,PTWRITTA_EXP,PTWRITTA_HIGH,PTWRITTA_WTS,PTWRITTA_AD,PTSCITA_EXP,PTSCITA_AD,PTRWM_EXP_B,PTRWM_EXP_G,PTRWM_EXP_L,PTRWM_EXP_M,PTRWM_EXP_H,PTRWM_EXP_FSM6CLA1A,PTRWM_EXP_NotFSM6CLA1A,DIFFN_RWM_EXP,PTRWM_EXP_EAL,PTRWM_EXP_MOBN,PTRWM_HIGH_B,PTRWM_HIGH_G,PTRWM_HIGH_L,PTRWM_HIGH_M,PTRWM_HIGH_H,PTRWM_HIGH_FSM6CLA1A,PTRWM_HIGH_NotFSM6CLA1A,DIFFN_RWM_HIGH,PTRWM_HIGH_EAL,PTRWM_HIGH_MOBN,READPROG_B,READPROG_B_LOWER,READPROG_B_UPPER,READPROG_G,READPROG_G_LOWER,READPROG_G_UPPER,READPROG_L,READPROG_L_LOWER,READPROG_L_UPPER,READPROG_M,READPROG_M_LOWER,READPROG_M_UPPER,READPROG_H,READPROG_H_LOWER,READPROG_H_UPPER,READPROG_FSM6CLA1A,READPROG_FSM6CLA1A_LOWER,READPROG_FSM6CLA1A_UPPER,READPROG_NotFSM6CLA1A,READPROG_NotFSM6CLA1A_LOWER,READPROG_NotFSM6CLA1A_UPPER,DIFFN_READPROG,READPROG_EAL,READPROG_EAL_LOWER,READPROG_EAL_UPPER,READPROG_MOBN,READPROG_MOBN_LOWER,READPROG_MOBN_UPPER,WRITPROG_B,WRITPROG_B_LOWER,WRITPROG_B_UPPER,WRITPROG_G,WRITPROG_G_LOWER,WRITPROG_G_UPPER,WRITPROG_L,WRITPROG_L_LOWER,WRITPROG_L_UPPER,WRITPROG_M,WRITPROG_M_LOWER,WRITPROG_M_UPPER,WRITPROG_H,WRITPROG_H_LOWER,WRITPROG_H_UPPER,WRITPROG_FSM6CLA1A,WRITPROG_FSM6CLA1A_LOWER,WRITPROG_FSM6CLA1A_UPPER,WRITPROG_NotFSM6CLA1A,WRITPROG_NotFSM6CLA1A_LOWER,WRITPROG_NotFSM6CLA1A_UPPER,DIFFN_WRITPROG,WRITPROG_EAL,WRITPROG_EAL_LOWER,WRITPROG_EAL_UPPER,WRITPROG_MOBN,WRITPROG_MOBN_LOWER,WRITPROG_MOBN_UPPER,MATPROG_B,MATPROG_B_LOWER,MATPROG_B_UPPER,MATPROG_G,MATPROG_G_LOWER,MATPROG_G_UPPER,MATPROG_L,MATPROG_L_LOWER,MATPROG_L_UPPER,MATPROG_M,MATPROG_M_LOWER,MATPROG_M_UPPER,MATPROG_H,MATPROG_H_LOWER,MATPROG_H_UPPER,MATPROG_FSM6CLA1A,MATPROG_FSM6CLA1A_LOWER,MATPROG_FSM6CLA1A_UPPER,MATPROG_NotFSM6CLA1A,MATPROG_NotFSM6CLA1A_LOWER,MATPROG_NotFSM6CLA1A_UPPER,DIFFN_MATPROG,MATPROG_EAL,MATPROG_EAL_LOWER,MATPROG_EAL_UPPER,MATPROG_MOBN,MATPROG_MOBN_LOWER,MATPROG_MOBN_UPPER,READ_AVERAGE_B,READ_AVERAGE_G,READ_AVERAGE_L,READ_AVERAGE_M,READ_AVERAGE_H,READ_AVERAGE_FSM6CLA1A,READ_AVERAGE_NotFSM6CLA1A,READ_AVERAGE_EAL,READ_AVERAGE_MOBN,MAT_AVERAGE_B,MAT_AVERAGE_G,MAT_AVERAGE_L,MAT_AVERAGE_M,MAT_AVERAGE_H,MAT_AVERAGE_FSM6CLA1A,MAT_AVERAGE_NotFSM6CLA1A,MAT_AVERAGE_EAL,MAT_AVERAGE_MOBN,GPS_AVERAGE_B,GPS_AVERAGE_G,GPS_AVERAGE_L,GPS_AVERAGE_M,GPS_AVERAGE_H,GPS_AVERAGE_FSM6CLA1A,GPS_AVERAGE_NotFSM6CLA1A,GPS_AVERAGE_EAL,GPS_AVERAGE_MOBN,PTREAD_EXP_L,PTREAD_EXP_M,PTREAD_EXP_H,PTREAD_EXP_FSM6CLA1A,PTREAD_EXP_NotFSM6CLA1A,PTGPS_EXP_L,PTGPS_EXP_M,PTGPS_EXP_H,PTGPS_EXP_FSM6CLA1A,PTGPS_EXP_NotFSM6CLA1A,PTMAT_EXP_L,PTMAT_EXP_M,PTMAT_EXP_H,PTMAT_EXP_FSM6CLA1A,PTMAT_EXP_NotFSM6CLA1A,PTWRITTA_EXP_L,PTWRITTA_EXP_M,PTWRITTA_EXP_H,PTWRITTA_EXP_FSM6CLA1A,PTWRITTA_EXP_NotFSM6CLA1A,PTREAD_HIGH_L,PTREAD_HIGH_M,PTREAD_HIGH_H,PTREAD_HIGH_FSM6CLA1A,PTREAD_HIGH_NotFSM6CLA1A,PTGPS_HIGH_L,PTGPS_HIGH_M,PTGPS_HIGH_H,PTGPS_HIGH_FSM6CLA1A,PTGPS_HIGH_NotFSM6CLA1A,PTMAT_HIGH_L,PTMAT_HIGH_M,PTMAT_HIGH_H,PTMAT_HIGH_FSM6CLA1A,PTMAT_HIGH_NotFSM6CLA1A,PTWRITTA_HIGH_L,PTWRITTA_HIGH_M,PTWRITTA_HIGH_H,PTWRITTA_HIGH_FSM6CLA1A,PTWRITTA_HIGH_NotFSM6CLA1A,TEALGRP1,PTEALGRP1,TEALGRP3,PTEALGRP3,TSENELE,PSENELE,TSENELK,PSENELK,TSENELEK,PSENELEK,TELIG_23,PTFSM6CLA1A_23,PTNOTFSM6CLA1A_23,PTRWM_EXP_23,PTRWM_HIGH_23,PTRWM_EXP_FSM6CLA1A_23,PTRWM_HIGH_FSM6CLA1A_23,PTRWM_EXP_NotFSM6CLA1A_23,PTRWM_HIGH_NotFSM6CLA1A_23,READPROG_23,READPROG_LOWER_23,READPROG_UPPER_23,WRITPROG_23,WRITPROG_LOWER_23,WRITPROG_UPPER_23,MATPROG_23,MATPROG_LOWER_23,MATPROG_UPPER_23,READ_AVERAGE_23,MAT_AVERAGE_23,TELIG_22,PTFSM6CLA1A_22,PTNOTFSM6CLA1A_22,PTRWM_EXP_22,PTRWM_HIGH_22,PTRWM_EXP_FSM6CLA1A_22,PTRWM_HIGH_FSM6CLA1A_22,PTRWM_EXP_NotFSM6CLA1A_22,PTRWM_HIGH_NotFSM6CLA1A_22,READPROG_22,READPROG_LOWER_22,READPROG_UPPER_22,WRITPROG_22,WRITPROG_LOWER_22,WRITPROG_UPPER_22,MATPROG_22,MATPROG_LOWER_22,MATPROG_UPPER_22,READ_AVERAGE_22,MAT_AVERAGE_22,READPROG_UNADJUSTED,WRITPROG_UNADJUSTED,MATPROG_UNADJUSTED,READPROG_DESCR,WRITPROG_DESCR,MATPROG_DESCR
1,25158,870,2035,146275,St Mary & All Saints Church of England Primary School,Wensley Road,Coley Park,,Reading,RG1 6DU,1189015545,E14001438,Reading Central,0,,,AC,0,Church of England,3-11,0,0,336,47,46,21,25,46%,54%,,,,,,,,,,16,35%,30,65%,15,33%,40,87%,50%,2%,,,,,,,,,,,,,59%,9%,2%,102,54%,13%,2%,101,74%,13%,2%,103,61%,2%,33%,0%,57%,2%,38%,60%,,,,44%,53%,-23,40%,50%,5%,0%,,,,0%,3%,-10,0%,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,104,,,,102,102,99,103,104,103,,,,102,104,101,104,100,101,,,,100,101,99,101,,,,56%,60%,,,,38%,63%,,,,69%,77%,,,,50%,67%,,,,0%,13%,,,,13%,13%,,,,0%,20%,,,,0%,3%,29,63%,2,4%,1,2%,9,20%,10,22%,30,53%,47%,37%,0%,25%,0%,50%,0%,4,1.6,6.3,3.1,0.8,5.4,1.6,-0.7,3.8,101,98
1,4898,870,2233,109925,Caversham Park Primary School,Queensway,Caversham Park Village,,Reading,RG4 6RP,1189375433,E14001438,Reading Central,0,,,CY,0,Does not apply,5-11,0,0,124,23,23,8,15,35%,65%,,,,,,,,,,5,22%,18,78%,8,35%,21,91%,61%,9%,,,,,,,,,,,,,70%,26%,0%,105,83%,35%,0%,106,78%,26%,0%,106,70%,9%,26%,0%,78%,0%,25%,80%,,,,SUPP,SUPP,SUPP,50%,67%,0%,13%,,,,SUPP,SUPP,SUPP,0%,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,107,,,,SUPP,SUPP,102,106,104,108,,,,SUPP,SUPP,108,107,101,109,,,,SUPP,SUPP,105,107,,,,SUPP,SUPP,,,,SUPP,SUPP,,,,SUPP,SUPP,,,,SUPP,SUPP,,,,SUPP,SUPP,,,,SUPP,SUPP,,,,SUPP,SUPP,,,,SUPP,SUPP,15,65%,0,0%,0,0%,5,22%,5,22%,26,8%,92%,54%,12%,SUPP,SUPP,SUPP,SUPP,0.7,-1.9,3.2,-0.6,-3.1,1.9,1.9,-0.5,4.3,106,106
1,5576,870,3305,110005,Christ The King Catholic Primary School,Lulworth Road,,,Reading,RG2 8LX,1189375434,E14001210,Earley and Woodley,0,,,VA,0,Roman Catholic,3-11,0,0,327,47,47,27,20,57%,43%,,,,,,,,,,20,43%,27,57%,20,43%,41,87%,47%,6%,,,,,,,,,,,,,64%,26%,0%,103,60%,26%,0%,103,64%,26%,0%,103,55%,6%,15%,0%,72%,0%,44%,50%,,,,35%,56%,-32,45%,54%,11%,0%,,,,0%,11%,-10,5%,7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,104,,,,100,105,103,104,104,101,,,,99,106,104,104,102,104,,,,99,106,104,104,,,,55%,70%,,,,50%,67%,,,,45%,78%,,,,40%,67%,,,,10%,37%,,,,10%,37%,,,,5%,41%,,,,0%,11%,27,57%,0,0%,7,15%,13,28%,20,43%,49,33%,67%,49%,4%,44%,6%,52%,3%,2.5,0.7,4.2,1.8,0.1,3.5,4.9,3.2,6.6,103,105
1,416,870,2000,109776,Alfred Sutton Primary School,148 Wokingham Road,,,Reading,RG6 1JR,1189375411,E14001438,Reading Central,0,,,CY,0,Does not apply,3-11,0,0,683,90,88,51,37,58%,42%,,,,,,,,,,22,25%,66,75%,36,41%,80,91%,83%,20%,,,,,,,,,,,,,86%,45%,0%,108,88%,53%,0%,110,93%,52%,0%,109,85%,23%,15%,0%,84%,0%,84%,81%,,,,64%,89%,-3,86%,83%,22%,19%,,,,9%,24%,-1,22%,19%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,106,,,,103,109,108,108,110,107,,,,104,110,110,108,110,110,,,,106,111,112,110,,,,68%,92%,,,,77%,91%,,,,86%,95%,,,,64%,92%,,,,27%,52%,,,,32%,61%,,,,18%,64%,,,,14%,26%,52,59%,0,0%,0,0%,14,16%,14,16%,86,23%,77%,80%,21%,60%,10%,86%,24%,1.6,0.1,3.1,3.1,1.7,4.5,4.2,2.8,5.5,108,110
1,9704,870,2007,109781,Geoffrey Field Junior School,Exbourne Road,,,Reading,RG2 8RH,1189375475,E14001210,Earley and Woodley,0,,,CY,0,Does not apply,7-11,0,0,354,87,87,40,47,46%,54%,,,,,,,,,,37,43%,50,57%,19,22%,79,91%,62%,8%,,,,,,,,,,,,,75%,31%,2%,106,59%,32%,2%,104,76%,21%,1%,104,74%,14%,22%,1%,84%,1%,68%,57%,,,,51%,70%,-16,68%,65%,10%,6%,,,,8%,8%,-2,16%,8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,105,,,,104,107,106,106,106,103,,,,102,106,107,104,105,103,,,,102,105,108,103,,,,73%,76%,,,,51%,64%,,,,62%,86%,,,,65%,80%,,,,27%,34%,,,,30%,34%,,,,14%,26%,,,,14%,14%,68,78%,0,0%,5,6%,11,13%,16,18%,90,37%,63%,60%,4%,39%,3%,71%,5%,-1.8,-3.2,-0.5,-1.3,-2.6,0,-0.6,-1.8,0.7,104,104
1,21316,870,2018,109787,Redlands Primary School,Lydford Road,,,Reading,RG1 5QH,1189375527,E14001438,Reading Central,0,,,CY,0,Does not apply,3-11,0,0,213,30,30,12,18,40%,60%,,,,,,,,,,6,20%,24,80%,19,63%,25,83%,87%,7%,,,,,,,,,,,,,90%,40%,0%,110,93%,43%,0%,110,93%,30%,0%,107,90%,7%,3%,0%,93%,0%,75%,94%,,,,83%,88%,16,79%,96%,8%,6%,,,,0%,8%,-10,11%,8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,109,,,,107,110,109,110,108,107,,,,107,107,108,108,109,110,,,,108,110,110,110,,,,83%,92%,,,,100%,92%,,,,100%,92%,,,,100%,88%,,,,33%,42%,,,,33%,46%,,,,17%,33%,,,,0%,8%,11,37%,0,0%,0,0%,2,7%,2,7%,29,14%,86%,78%,4%,SUPP,SUPP,SUPP,SUPP,1.3,-1.2,3.9,1.7,-0.7,4.1,1.6,-0.8,4,107,106
1,21120,870,2025,142072,Ranikhet Academy,Spey Road,Tilehurst,,Reading,RG30 4ED,1189375520,E14001439,Reading West and Mid Berkshire,0,,,AC,0,Does not apply,3-11,0,0,247,36,35,15,20,43%,57%,,,,,,,,,,18,51%,17,49%,16,46%,28,80%,51%,9%,,,,,,,,,,,,,66%,17%,0%,102,66%,14%,0%,101,63%,17%,0%,103,77%,17%,23%,0%,86%,0%,67%,40%,,,,39%,65%,-28,56%,46%,13%,5%,,,,6%,12%,-4,13%,11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,101,,,,102,103,102,102,106,100,,,,101,105,104,102,103,100,,,,99,104,104,101,,,,61%,71%,,,,50%,82%,,,,56%,71%,,,,72%,82%,,,,17%,18%,,,,11%,18%,,,,6%,29%,,,,11%,24%,19,54%,0,0%,0,0%,7,20%,7,20%,28,57%,43%,43%,4%,25%,0%,67%,8%,-0.8,-3.6,2,-1.2,-3.9,1.5,-1.7,-4.3,1,105,102
1,8444,870,3304,110004,English Martyrs' Catholic Primary School,Dee Road,Tilehurst,,Reading,RG30 4BE,1189375466,E14001439,Reading West and Mid Berkshire,0,,,VA,0,Roman Catholic,3-11,0,0,433,64,64,30,34,47%,53%,,,,,,,,,,17,27%,47,73%,28,44%,60,94%,52%,2%,,,,,,,,,,,,,78%,34%,0%,106,70%,38%,0%,106,78%,28%,0%,105,55%,3%,33%,0%,80%,2%,40%,62%,,,,29%,60%,-38,61%,52%,3%,0%,,,,0%,2%,-10,4%,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,107,,,,105,106,106,106,106,104,,,,100,106,108,105,106,106,,,,102,107,108,106,,,,65%,83%,,,,47%,79%,,,,53%,87%,,,,29%,64%,,,,29%,36%,,,,24%,43%,,,,12%,34%,,,,6%,2%,36,56%,0,0%,5,8%,13,20%,18,28%,64,20%,80%,53%,6%,31%,0%,59%,8%,0.3,-1.3,1.9,-1.8,-3.3,-0.2,1.6,0,3.1,105,106
1,32222,870,3361,136512,Whitley Park Primary and Nursery School,Brixham Road,,,Reading,RG2 7RB,1189375566,E14001210,Earley and Woodley,0,,,CY,0,Does not apply,3-11,0,0,571,82,84,44,40,52%,48%,,,,,,,,,,28,33%,56,67%,28,33%,67,80%,46%,0%,,,,,,,,,,,,,65%,29%,0%,103,55%,20%,0%,101,61%,20%,1%,101,48%,1%,15%,0%,77%,0%,52%,40%,,,,29%,55%,-38,61%,48%,0%,0%,,,,0%,0%,-10,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,102,,,,101,104,104,103,103,99,,,,97,103,104,101,101,102,,,,98,103,104,101,,,,57%,70%,,,,36%,64%,,,,43%,70%,,,,29%,57%,,,,18%,34%,,,,11%,25%,,,,11%,25%,,,,4%,0%,55,65%,1,1%,3,4%,24,29%,27,32%,89,42%,58%,34%,3%,24%,0%,40%,6%,-1.4,-2.8,0.1,-0.6,-2,0.8,-1.3,-2.7,0.1,101,101
3,,870,,,Reading,,,,,,,,,,,,,,,,,,13964,2027,2002,1003,999,50%,50%,,,,,,,,,,523,26%,1479,74%,726,36%,1759,88%,60%,7%,,,,,,,,,,,,,75%,33%,1%,106,72%,36%,1%,106,73%,28%,1%,105,67%,10%,23%,0%,81%,0%,55%,64%,,,,41%,66%,-26,65%,61%,6%,9%,,,,2%,9%,-8,8%,7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,107,,,,103,107,106,106,105,105,,,,101,106,107,105,105,107,,,,101,107,108,106,,,,61%,79%,,,,54%,78%,,,,56%,80%,,,,50%,73%,,,,19%,38%,,,,18%,42%,,,,11%,34%,,,,5%,11%,1257,63%,19,1%,123,6%,333,17%,456,23%,1944,28%,72%,57%,8%,37%,3%,64%,11%,0.3,0,0.6,-0.4,-0.7,-0.1,0.3,0,0.6,105,104
